Text,Identifies text: Diaries by year number; texts in vol 5 by text number; GYTs by tablet inventory number
Obj,planet
T_Era,king for regnal year or SE for Seleucid Era
T_Y,year number in Babylonian calendar
T_M,month number in Bab calendar
T_D,day number in Bab calendar
T_T,f = first part of night; l = last part of night
NS_Id,identifies normal star
NS_No,number of normal star in Sachs-Hunger list
Up,Y if there is a measurement above or below
Up_C,number of cubits; positive means above; negative means below
Up_F,number of fingers
Ahead,Y if there is a measurement behind or in front
Ahead_C,number of cubits; positive means behind; negative means in front
Ahead_F,number of fingers
Notes,miscellaneous including indication of uncertain readings or corrections to text
J_Y,Julian year number using astronomical convention -x = x+1 B.C.
J_M,number of Julian month
J_D,number of Julian calendar day; always the number of the day preceding the night
P_Long,tropical longitude from JPL ephemeris; midnight for outer planets; 4 hours before or after midnight for inners; midnight = 21 UT
P_Lat,latitude from JPL
NS_Long,tropical longitude of NS
NS_Lat,latitude of NS


Text,Obj,T_Era,T_Y,T_M,T_D,T_T,NS_Id,NS_No,Up,Up_C,Up_F,Ahead,Ahead_C,Ahead_F,Notes,J_Y,J_M,J_D,P_Long,P_Lat,NS_Long,NS_Lat
-381,Jupiter,Artax_II,23,4,1,,aLeo,18,Y,0.5,,Y,,4,in front =above?,-381,7,4,115.8396441,0.8339025,116.894079,0.358841833
-378,Jupiter,Artax_II,26,8,23,,aSco,28,,,,N,,,nn c 8 f,-378,11,18,217.1759881,0.8160236,216.7282713,-4.25923725
-372,Jupiter,Artax_II,32,12.2,10,,bTau,6,Y,-2.67,,N,,,,-371,3,26,48.5328447,-0.431363,49.62047571,5.189215208
-346,Jupiter,Artax_III,12,9,8,,rLeo,19,Y,,8,N,,,,-346,12,9,123.7853278,1.0345463,123.7868592,0.0255605
-346,Jupiter,Artax_III,12,11,9,,aLeo,18,Y,,8,N,,,,-345,2,7,117.2587258,1.2042675,117.3899865,0.360815833
-328,Jupiter,Alex_III,8,8,28,f,gCap,31,,,,,,,,-328,12,9,289.2918333,-0.7776425,289.3159143,-2.310777667
-324,Jupiter,Alex_III,12,3,16,,zTau,7,Y,1,8,Y,0.67,,,-324,6,19,56.0022237,-0.5385078,52.48300883,-2.490386167
-324,Jupiter,Alex_III,12,4,12,,hGem,8,Y,,5,N,,,,-324,7,14,61.1055418,-0.517211,61.136621,-1.195782
-324,Jupiter,Alex_III,12,4,22,,mGem,9,Y,,4,N,,,,-324,7,24,62.937645,-0.5104693,62.96334,-1.058584333
-321,Jupiter,Philip,2,1,17,,rLeo,19,Y,,10,N,,,,-321,4,19,123.398421,1.261188,124.1328279,0.027162583
-300,Jupiter,SE,11,8,19,,aGem,11,,,,,,,,-300,11,21,76.5892128,-0.1328619,78.2559625,9.8097125
-289,Jupiter,SE,22,3,9,,aTau,5,Y,2,,N,,,,-289,6,16,40.0381142,-0.876854,37.94163833,-5.626310208
-284,Jupiter,SE,27,7,27,,aLib,24,Y,,4,N,,,,-284,11,3,193.637254,1.1406675,193.3488262,0.6359495
-277,Jupiter,SE,34,1,1,,hTau,4,Y,-2.5,,N,,,,-277,3,28,25.7921971,-0.8893544,28.34791767,3.819897667
-277,Jupiter,SE,34,4,21,,bTau,6,,,,,,,,-277,7,14,49.2659558,-0.802186,50.92148663,5.196989792
-277,Jupiter,SE,34,5,16,,zTau,7,Y,0.67,,N,,,,-277,8,8,52.9306513,-0.8150347,53.13354171,-2.484399542
-273,Jupiter,SE,38,7,26,,aVir,23,,,,N,,,,-273,10,31,172.0941367,1.2674823,172.2746129,-1.906195583
-251,Jupiter,SE,60,7,4,,rLeo,19,Y,,6,N,,,T_D?,-251,10,6,124.9665771,0.8198069,125.1015404,0.031648417
-234,Jupiter,SE,77,12.2,18,,gCap,31,Y,0.67,,N,,,,-233,4,7,290.207188,-0.5084877,290.6355316,-2.321809542
-229,Jupiter,SE,82,12,19,,gGem,10,Y,3,,N,,,T_D?,-228,3,15,67.5009387,0.0078268,68.13759867,-6.992852833
-213,Jupiter,SE,98,8,20,,aLib,24,,,,,,,,-213,11,21,193.9494375,1.197074,194.3293155,0.627941292
-212,Jupiter,SE,99,10,28,,thOph,29,Y,,20,,,,,-211,1,16,229.6252515,0.8251857,230.6649703,-1.539380542
-211,Jupiter,SE,100,6,4,,thOph,29,,,,,,,,-211,9,14,229.8135162,0.4227515,230.6649703,-1.539380542
-202,Jupiter,SE,109,8,16,,aVir,23,,,,,,,,-202,11,15,171.5038098,1.3113445,173.2563861,-1.9101065
-199,Jupiter,SE,112,5,21,,thOph,29,,,,,,,,-199,8,21,230.61977,0.407486,230.8310118,-1.541029042
-191,Jupiter,SE,120,7,22,,bVir,21,Y,,6,,,,,-191,10,21,145.9559528,1.1261315,146.2227552,0.648335125
