Text,identifies text as in Collection A
Planet,identifies planet
Event,phi = first station; psi = second station
Tera,reign or SE for Seleucid Era
TY,Babylonian year number
TM,Bab month number
TD,Bab day number
NSName,the Normal Star
NSNo,number of star in Sachs-Hunger list
East?,Y if there is or was a measurement behind/in front; N if definitely not; ? If uncertain
East_cub,cubits distance reported; fingers have been converted to cubits at 24 fingers = 1 cubit; negative means in front
North?,Y if there is or was a measurement above/below; N if definitely not; ? If uncertain
North_cub,cubits distance reported; fingers have been converted; negative means below
JY,Julian calendar year
TrueDate,Closest date to station according to JPL ephemeris
JPLLong,Longitude at 21 UT from JPL
JPLLat,Latitude at 21 UT
Notes,miscellaneous notes
NSLong,longitude of median passage point of Normal Star
NSLat,latitude of Normal Star
NSLongUncorr,longitude of Normal Star uncorrected for passage point


Text,Planet,Event,Tera,TY,TM,TD,NSName,NSNo,East?,East_cub,North?,North_cub,JY,TrueDate,JPLLong,JPLLat,Notes,NSLong,NSLat,NSLongUncorr
H72,Jupiter,Phi,SE,23,7,,bGem,12,Y,0.666666667,?,,-288,b0289-Oct-14 21:00,84.0063792,-0.0903486,2/3c some dir star restored,81.9636741,6.504447333,81.789296
H70,Jupiter,Phi,SE,12,8,17,aLeo,18,Y,-3,?,,-299,b0300-Nov-10 21:00,111.1945233,0.6444477,,117.9247027,0.363338167,118.023646
H66,Jupiter,Psi,Alex,8,5,,bCap,30,Y,1.5,?,,-328,b0329-Sep-07 21:00,277.3157529,-0.8140097,,272.7599385,4.844378,271.673924
H66,Jupiter,Psi,Art_III,16,3,24,bSco,27,Y,-2,?,,-342,b0343-Jun-27 21:00,205.8156188,1.0448874,2c some dir star restored,210.5271357,1.296087167,210.6601229
-372,Jupiter,,Art_II,32,,,aTau,5,Y,1,?,,-371,b0372-Jan-08 21:00,40.2811429,-0.703931,,37.3832574,-5.631793958,36.80552833
-329,Mars,Psi,Alex_III,7,9,27,aTau,5,Y,2.5,?,,-329,b0330-Dec-22 21:00,40.3281173,2.2545597,,37.9651674,-5.628985208,37.38743833
-261,Saturn,Phi,SE,50,9,18,thLeo,20,Y,-0.5,?,,-261,b0262-Nov-24 21:00,130.607143,1.3792193,,135.2995701,9.647163542,131.9609262
-207,Mars,Phi,SE,104,2,20,gCap,31,Y,-2,?,,-207,b0208-Jun-09 21:00,287.5935345,-4.7004607,,290.8374962,-2.324828792,290.99669
-193,Saturn,Phi,SE,118,12.2,11,thOph,29,Y,4,?,,-192,b0193-Mar-10 21:00,238.4229425,1.7594235,,231.3569746,-1.541990667,230.9278693
-182,Saturn,Psi,SE,129,,,hPsc,1,Y,-1.5,?,,-182,b0183-Nov-28 21:00,352.6776279,-2.6559445,,357.2901746,5.255737167,356.4919362
