NS_No,Number of star in Sachs-Hunger list
NS_Name,ID of star
Long_year0,tropical longitude in Julian year 0
Lat_year0,tropical latitude in year 0
yearchangelong,mean annual change in longitude from -400 to 0
yearchangelat,mean annual change in latitude
Long_minus100,"""Huber"" longitude (= tropical longitude in year -100 plus 4;28)"
Lat_minus100,Latitude in year -100
Long_med_pass,"""Huber"" longitude of median passage"
Lat_mean_pass,latitude of mean passage
Median_elong,elongation of median passage
Count,number of reports for this star
MAD,mean absolute deviation of elongations from reports with respect to median
St_err_med,standard error of the median elongation
RA_m100_d,right ascension in degrees of star in -100
polar_long,tropical longitude on ecliptic having same right ascension as star in -100
rel_pol_long,polar_long minus tropical longitude in -100,,,,,,,,,,,,,,,



NS_No,NS_Name,Long_year0,Lat_year0,yearchangelong,yearchangelat,Long_minus100,Lat_minus100,Long_med_pass,Lat_mean_pass,Median_elong,Count,MAD,St_err_med,RA_m100_d,polar_long,rel_pol_long
1,eta Psc,359.0098,5.264033333,0.013834417,4.56E-05,2.093025,5.259475,2.891263433,-0.751281408,0.798238433,39,1.249986403,0.401169941,355.73325,355.340993,-2.285365363
2,beta Ari,6.158283333,8.413766667,0.013836458,2.65E-05,9.241304167,8.4111125,9.404656708,-0.191737592,0.163352542,39,1.276806769,0.34075674,0.9855,1.076386647,-3.698250853
3,alpha Ari,9.811116667,9.914916667,0.013855875,1.55E-05,12.89219583,9.913370833,13.5004963,-0.33889308,0.608300471,44,1.23341011,0.336016157,3.7175,4.059321395,-4.366207772
4,pleiades,32.18076667,3.846766667,0.013837,9.70E-05,35.26373333,3.837066667,33.86263437,0.510809759,-1.401098967,46,1.00982122,0.252848335,27.08625,29.18768786,-1.609378807
5,alpha Tau,41.94573333,-5.606983333,0.013855,6.69E-05,45.0269,-5.613670833,45.60462907,0.485754116,0.577729067,45,1.284256191,0.341772421,39.90825,42.41249949,1.852266159
6,beta Tau,54.75531667,5.2199,0.013840542,8.27E-05,57.83792917,5.211629167,56.89323187,0.470955768,-0.9446973,68,1.006937166,0.222977579,49.50725,51.98349814,-1.387764356
7,zeta Tau,56.96753333,-2.449116667,0.013841125,0.000127375,60.0500875,-2.461854167,60.29940642,0.211382968,0.249318917,56,0.819059914,0.19526536,53.83725,56.21096718,0.627546343
8,eta Gem,65.65556667,-1.14565,0.013822583,0.000131375,68.70339167,-1.165616667,68.43739199,0.695729863,-0.265999675,60,0.693524961,0.15289158,62.4635,64.48278447,0.246059473
9,mu Gem,67.4529,-1.024483333,0.013856667,0.00010525,70.5339,-1.035008333,70.41648932,0.57983272,-0.117410683,70,0.809263803,0.177965276,64.35825,66.2756394,0.208406064
10,gamma Gem,71.29296667,-6.966433333,0.013839333,0.000115875,74.3757,-6.978020833,74.10645648,0.644212227,-0.269243517,62,1.106721128,0.244662175,69.32525,70.94023467,1.031201332
11,alpha Gem,82.5094,9.947833333,0.013795333,8.02917E-05,85.49175417,9.835770833,84.24758987,0.811471014,-1.2441643,57,0.952790569,0.219107373,79.442,80.31603602,-0.709051482
12,beta Gem,85.7276,6.528783333,0.013674667,8.45E-05,88.8268,6.520333333,89.0011781,1.110801269,0.1743781,67,0.953196266,0.197813,83.54725,84.08818283,-0.271950502
13,eta Cnc,97.60608333,1.38655,0.013832375,0.000101708,100.6895125,1.376379167,100.424443,1.479526922,-0.265069458,9,0.684714508,0.535620728,96.89025,96.31310576,0.090259931
14,theta Cnc,97.9399,-0.943516667,0.01382625,9.70E-05,101.0239417,-0.953216667,100.4114879,1.136707756,-0.6124538,9,1.006697139,0.711030794,97.13025,96.53336756,-0.023907441
15,gamma Cnc,99.76581667,3.018166667,0.013817667,0.00009575,102.8507167,3.008591667,103.2101122,1.89417103,0.359395567,10,0.503299653,0.320236194,99.386,98.60556786,0.221517862
16,delta Cnc,100.8820167,-0.00355,0.013851958,0.00005025,103.9634875,-0.008575,103.7301722,0.87295747,-0.233315346,44,0.503826853,0.13668835,100.38,99.51998175,0.023160917
17,eps Leo,112.8771333,9.562316667,0.013844458,8.81E-05,115.9593542,9.553504167,115.7937286,1.009558842,-0.165625567,53,1.207278728,0.379931586,115.06825,113.1830983,1.690410803
18,alpha Leo,122.1424333,0.379733333,0.013775208,5.48E-05,125.2315792,0.37425,125.1326358,0.779762286,-0.098943342,73,0.454747393,0.09788432,123.1435,120.8720041,0.107091555
19,rho Leo,128.5750667,0.047733333,0.01383875,6.41E-05,131.6578583,0.041325,131.5754782,1.074014032,-0.082380117,57,0.520266046,0.116361535,129.68625,127.2248626,0.033670927
20,theta Leo,135.5769833,9.653416667,0.013854625,2.40E-05,138.6581875,9.651020833,141.9968314,1.357337117,3.338643917,46,1.511401744,0.393552209,139.8705,137.3635479,3.172027029
21,beta Vir,148.9081833,0.654916667,0.014059833,3.45E-05,151.9688667,0.651470833,151.8752049,1.078528726,-0.093661767,57,0.601460787,0.177564018,150.00325,147.7673782,0.265178171
22,gamma Vir,162.6414167,2.94285,0.013682625,-6.42E-05,165.3959333,2.839583333,165.6235638,0.865138983,0.227630433,59,0.500087102,0.123453358,163.56425,162.1405961,1.211329413
23,alpha Vir,176.0496,-1.921233333,0.013827792,-5.51E-05,179.1334875,-1.915725,178.9120342,0.759181059,-0.221453263,66,0.729329444,0.155368752,174.3695,173.8537597,-0.81306114
24,alpha Lib,197.2707833,0.603916667,0.013809708,-0.000112792,200.3564792,0.615195833,200.2719065,1.069721285,-0.084572658,53,0.690195918,0.204736506,194.8715,196.1742226,0.284410144
